EventTitle,Month,Date,Location
3D JELLY ART WORKSHOP,NOV,26,Angelicioxs Studio
MALAYSIA TUBA CHRISTMAS 2023,DEC,09,Pavilion Bukit Jalil City
FOURJEI POP-UP AT FRENCH CHARITY CHRISTMAS BAZAAR,NOV,30,STEG Hotel Kuala Lumpur
åœ£è¯èŠ‚çš„è‰²å½© COLOURS OF CHRISTMAS,DEC,03,New Life Restoration Centre Chinese
2023å¹´12æœˆ10å·-é›ªéš†ğŸ…å•èº«åœ£è¯æ´¾å¯¹ğŸ~å¯»æ‰¾åœ£è¯ä¹‹æ‹â¤ï¸!,DEC,10,Kuala Lumpur
BAM CHRISTMAS GLAMOR NIGHT,DEC,05,Park Royal Hotel
KIDS CHRISTMAS PARTY,DEC,09,Penganut Kristian Apostolik
LEATHERMITT @ ALL SOULS INTERNATIONAL COMMUNITY CHURCH CHRISTMAS BAZAAR,NOV,18,All Souls' International Community Church
GLOW SIP & PAINT : GLOW - MAGICAL CHRISTMAS EVE,NOV,25,Art & Bonding
SIP & PAINT NIGHT : WISHING UPON A CHRISTMAS STAR,DEC,02,Art & Bonding
VEGGIE BUSINESS NETWORKING,NOV,26,Wholey Wonder
DA RED GOBBO'S SECRET CHRISTMAS GIFT EXCHANGE,DEC,16,Warhammer - Publika
LATIN SOLO XMAS DANCE PARTY 2023,DEC,16,Hotel Olympic Malaysia
